csv_code,coefficient,ref_id,variable,survey_year,feature_group,question,abs_coefficient
C0986500,0.052890793120247075,C09865.00,MS901413,1990,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO,0.052890793120247075
C1933400,0.052222716917285916,C19334.00,CS98063,1998,substance/risk behavior,CHILD SELF-ADMIN: CHILD'S AGE WHEN FIRST USED MARIJUANA,0.052222716917285916
C1505700,0.05204758268453587,C15057.00,BPEXTP1994,1994,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL PERCENTILE SCORE TRICHOTOMOUS,0.05204758268453587
C1592600,-0.05193607569658271,C15926.00,CS960945,1996,substance/risk behavior,CHILD SELF-ADMIN: CHILD'S AGE WHEN FIRST USED MARIJUANA,0.05193607569658271
Y3599000,-0.05165792272740487,Y35990.00,Q14-20A,2016,health,HEIGHT OF R IN INCHES (NOT INCLUDING FEET),0.05165792272740487
Y2609800,0.05141051724399283,Y26098.00,YASR-66,2010,prior delinquency/contact,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS,0.05141051724399283
C0984700,0.051343209127328995,C09847.00,MS901341,1990,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME,0.051343209127328995
Y0969700,0.051138668794775057,Y09697.00,YASR-65B,1998,prior delinquency/contact,YA SELF-REPORT: EVER BEEN CONVICTED OF ANYTHING IN ADULT COURT?,0.051138668794775057
C6031900,0.05111116296686015,C60319.00,MS-BPI-06,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH,0.05111116296686015
C5699600,-0.050868607028686834,C56996.00,CSAS057B,2012,substance/risk behavior,CHILD SELF-ADMIN: CHILD'S AGE WHEN FIRST DRANK ALCOHOL MORE THAN,0.050868607028686834
Y0377400,0.05078850252991722,Y03774.00,YASR-65A~000002,1994,prior delinquency/contact,YA SELF-REPORT: EVER CONVICTED OF ROBBERY?,0.05078850252991722
C1927400,0.05076590665159168,C19274.00,CS98040B,1998,prior delinquency/contact,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO,0.05076590665159168
C6053800,-0.050626576655104866,C60538.00,ANTIZX2016,2016,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - SAME SEX,0.050626576655104866
C3364400,0.050011982204903035,C33644.00,CSAS024A,2006,peer/neighborhood,CHILD SELF-ADMIN: HAS CHILD EVER SEEN STUDENT CARRY A WEAPON ON,0.050011982204903035
C3010900,0.04905874755345143,C30109.00,BPI-13,2004,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT,0.04905874755345143
Y1940900,0.048904671536103464,Y19409.00,YASR-60F,2006,school/achievement,HOW MANY TIMES IN LAST YEAR R DAMAGED SCHOOL PROPERTY ON PURPOSE,0.048904671536103464
Y1942106,-0.04880913278253788,Y19421.06,YASR-65A~000007,2006,substance/risk behavior,CHARGES R MOST RECENTLY CONVICTED OF - POSSESSION OF MARIJUANA OR,0.04880913278253788
Y1890600,0.04874310809873347,Y18906.00,Q14-14G,2006,health,USUAL PLACE R GOES FOR MEDICAL TREATMENT WHEN HAS ILLNESS OR INJURY,0.04874310809873347
Y1942300,0.04861984467689806,Y19423.00,YASR-67,2006,prior delinquency/contact,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?,0.04861984467689806
C2525700,-0.04854230379766673,C25257.00,BPEXTZ2002,2002,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL STANDARD SCORE TRICHOTOMOUS ITEMS,0.04854230379766673
C6052700,-0.04834765923471713,C60527.00,BPEXTR2016,2016,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL SCORE TRICHOTOMOUS ITEMS,0.04834765923471713
Y3246804,-0.048272488646560675,Y32468.04,Q13-3C.04~000011,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER,0.048272488646560675
Y3326200,0.048053096164109875,Y33262.00,YASR-65A~000001,2014,prior delinquency/contact,CHARGES R MOST RECENTLY CONVICTED OF - ASSAULT,0.048053096164109875
C1183900,0.04804540760387194,C11839.00,MS921359,1992,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT,0.04804540760387194
C2796300,0.0478175604411576,C27963.00,BPMIS22004,2004,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL RAW SCORE TRICHOTOMOUS ITEMS -,0.0478175604411576
C0733100,0.04770658038710706,C07331.00,CS884250,1988,substance/risk behavior,CHILD SELF-ADMINISTERED: HAVE YOU EVER USED MARIJUANA,0.04770658038710706
Y1668800,-0.0476401566804091,Y16688.00,YASR-65A~000001,2004,prior delinquency/contact,CHARGES R MOST RECENTLY CONVICTED OF - ASSAULT,0.0476401566804091
C1182400,-0.047561381103195834,C11824.00,MS921329,1992,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES,0.047561381103195834
C2760900,0.04748038219685487,C27609.00,CSAS024A,2002,peer/neighborhood,CHILD SELF-ADMIN: HAS CHILD EVER SEEN STUDENT CARRY A WEAPON ON,0.04748038219685487
C5190000,-0.046641649422095574,C51900.00,MS-BPI-04,2010,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES,0.046641649422095574
Y3246904,-0.046570813170931834,Y32469.04,Q13-3C.05~000011,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER,0.046570813170931834
Y3246903,-0.046570813170931834,Y32469.03,Q13-3C.05~000010,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME,0.046570813170931834
Y3248100,-0.046570813170931834,Y32481.00,Q13-3E.05~000019,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT,0.046570813170931834
Y3248703,-0.04657081317092796,Y32487.03,Q13-3F.05~000028,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO,0.04657081317092796
C2497500,0.04636192276072336,C24975.00,ANTIPX2000,2000,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - SAME SEX,0.04636192276072336
C1185100,-0.0463208092882398,C11851.00,MS921419,1992,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL,0.0463208092882398
C0005400,0.04627840250789081,C00054.00,CSEX,XRND,background,SEX OF CHILD,0.04627840250789081
C2737800,0.04626733305409091,C27378.00,BPI-06,2002,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH,0.04626733305409091
Y3246303,-0.046080844154142535,Y32463.03,Q13-3A.05~000004,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES,0.046080844154142535
Y3247500,-0.046080844154142535,Y32475.00,Q13-3D.05~000013,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT,0.046080844154142535
C2573200,-0.04600183877547254,C25732.00,SCHL-32,2002,school/achievement,SCHOOL: HOW MANY TIMES DID PARENTS ATTEND SCHOOL MEETING,0.04600183877547254
C2525100,-0.04506353936884329,C25251.00,BPEXTR2002,2002,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL SCORE TRICHOTOMOUS ITEMS,0.04506353936884329
Y0673500,0.04480278082005739,Y06735.00,YASR-66E,1996,prior delinquency/contact,YA SELF-REPORT: NUMBER OF TIMES REFERRED TO COURT-RELATED,0.04480278082005739
Y3587004,-0.04436602545498268,Y35870.04,Q13-3C.02~000011,2016,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER,0.04436602545498268
C1638800,-0.04421003678520381,C16388.00,MS961513,1996,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO,0.04421003678520381
C2254614,-0.04410975103261756,C22546.14,HLTH-5A~000016,2000,health,CHILD HEALTH: TYPE OF LIMITING CONDITION,0.04410975103261756
Y2345100,-0.0438705450986758,Y23451.00,Q4-5AB,2010,school/achievement,IN LAST SCHOOL YEAR HOW OFTEN HAS R SEEN A STUDENT CARRY A WEAPON,0.0438705450986758
Y2959807,0.043800760327106766,Y29598.07,YASR-65A~000008,2012,substance/risk behavior,CHARGES R MOST RECENTLY CONVICTED OF - SELLING OF MARIJUANA OR,0.043800760327106766
Y2959806,0.043800760327106766,Y29598.06,YASR-65A~000007,2012,substance/risk behavior,CHARGES R MOST RECENTLY CONVICTED OF - POSSESSION OF MARIJUANA OR,0.043800760327106766
Y1668900,0.04280810261741903,Y16689.00,YASR-66,2004,prior delinquency/contact,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS,0.04280810261741903
C2496600,-0.042667387400842464,C24966.00,BPEXTR2000,2000,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL SCORE TRICHOTOMOUS ITEMS,0.042667387400842464
C1927700,0.04230819968018631,C19277.00,CS98040E,1998,school/achievement,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON,0.04230819968018631
C0575500,0.04222098250890235,C05755.00,ANTIPX1986,1986,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - SAME SEX,0.04222098250890235
Y3249201,-0.04203182308325476,Y32492.01,Q13-3G.04~000026,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL,0.04203182308325476
C0733500,-0.04169325715165918,C07335.00,CS884255,1988,substance/risk behavior,CHILD SELF-ADMINISTERED: USED OTHER DRUGS IN THE PAST 3 MONTHS,0.04169325715165918
C1434800,-0.04159023393636066,C14348.00,MS941429,1994,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES,0.04159023393636066
Y3248503,-0.04155777525132513,Y32485.03,Q13-3F.03~000028,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO,0.04155777525132513
Y0379800,-0.04144691466500204,Y03798.00,YASR-66E,1994,prior delinquency/contact,YA SELF-REPORT: NUMBER OF TIMES REFERRED TO COURT-RELATED,0.04144691466500204
Y0377300,-0.041402387946398105,Y03773.00,YASR-65A~000001,1994,prior delinquency/contact,YA SELF-REPORT: EVER CONVICTED OF ASSAULT?,0.041402387946398105
Y2875603,0.04138474126042753,Y28756.03,Q13-3A.02~000004,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES,0.04138474126042753
Y3246305,-0.041082179332878034,Y32463.05,Q13-3A.05~000006,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH,0.041082179332878034
Y2876800,0.0409096785164407,Y28768.00,Q13-3D.02~000013,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT,0.0409096785164407
C2759000,0.04087270116227298,C27590.00,CSAS020F,2002,school/achievement,CHILD SELF-ADMIN: HOW MUCH CHILD TELLS PARENTS ABOUT WHAT HOMEWORK,0.04087270116227298
C1194800,0.04055000592322375,C11948.00,ANTIP1992,1992,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN,0.04055000592322375
Y3249101,0.04044558635357447,Y32491.01,Q13-3G.03~000026,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL,0.04044558635357447
C1637900,0.039634064440106975,C16379.00,MS961459,1996,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT,0.039634064440106975
C5531200,-0.039502637596261644,C55312.00,BPEXTP2012,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL PERCENTILE SCORE TRICHOTOMOUS,0.039502637596261644
C3987600,-0.03945821836732652,C39876.00,ANTIPX2010,2010,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - SAME SEX,0.03945821836732652
C1563200,0.039443891339911406,C15632.00,BPMIS21996,1996,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL RAW SCORE TRICHOTOMOUS ITEMS -,0.039443891339911406
Y0674200,0.038972759288792194,Y06742.00,YASR-69B,1996,socioeconomic/work,YA SELF-REPORT: WAS VOLUNTEER WORK COURT ORDERED?,0.038972759288792194
C1140000,-0.03858954660089755,C11400.00,CS926857,1992,substance/risk behavior,CHILD SELF-ADMINISTERED: HAS CHILD DRUNK ALCOHOL IN THE PAST 3,0.03858954660089755
C0128014,0.03847100644911643,C01280.14,NH12_171996,1996,family/home,# HOUSEHOLD MEMBERS AGED 12 - 17 IN HOUSEHOLD OF MOTHER,0.03847100644911643
C5192800,0.03840433623233062,C51928.00,MS-BPI-31,2010,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL,0.03840433623233062
C1561600,-0.03838424685072054,C15616.00,ANTIZX1996,1996,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - SAME SEX,0.03838424685072054
C0942400,-0.038260569585120065,C09424.00,CS906613,1990,prior delinquency/contact,CHILD SELF-ADMINISTERED: HURT SOMEONE BAD ENOUGH TO NEED A DOCTOR,0.038260569585120065
C1637000,-0.037908035831419364,C16370.00,MS961441,1996,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME,0.037908035831419364
C3012800,-0.03772441725456488,C30128.00,BPI-31,2004,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL,0.03772441725456488
Y3670801,0.03772154176071584,Y36708.01,YASR-60B-J~000002,2016,prior delinquency/contact,HOW MANY TIMES IN LAST YEAR R HURT SOMEONE BADLY ENOUGH TO NEED,0.03772154176071584
C0732800,-0.03766478703142368,C07328.00,CS884246,1988,substance/risk behavior,CHILD SELF-ADMINISTERED: HAVE YOU EVER DRUNK ALCOHOL,0.03766478703142368
Y0966300,-0.03745354380710494,Y09663.00,YASR-61E,1998,prior delinquency/contact,YA SELF-REPORT: EVER IN LAST YEAR DAMAGED PROPERTY OF OTHERS ON,0.03745354380710494
Y3396400,-0.03740291202523424,Y33964.00,Q4-5AA,2016,school/achievement,HAS R EVER SEEN A STUDENT CARRY A WEAPON ON SCHOOL PROPERTY,0.03740291202523424
C5807700,-0.037088498473976564,C58077.00,ANTI2014,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL RAW SCORE,0.037088498473976564
Y0379700,-0.03696427944855433,Y03797.00,YASR-66D,1994,prior delinquency/contact,YASR: EVER BEEN REFERRED TO COURT-RELATED COUNSELING BY,0.03696427944855433
C5807900,0.03694228215553069,C58079.00,ANTIP2014,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN,0.03694228215553069
Y0670600,0.036668148337653035,Y06706.00,YASR-63,1996,prior delinquency/contact,YA SELF-REPORT: NUMBER OF TIMES BEEN CONVICTED OF SOMETHING,0.036668148337653035
C2740000,0.03662623015624527,C27400.00,BPI-28,2002,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO,0.03662623015624527
C2525900,-0.03632908441201309,C25259.00,ANTI2002,2002,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL RAW SCORE,0.03632908441201309
Y2019900,0.036289657742938915,Y20199.00,Q4-5AA,2008,school/achievement,HAS R EVER SEEN A STUDENT CARRY A WEAPON ON SCHOOL PROPERTY,0.036289657742938915
C0007000,0.036114013739247594,C00070.00,MAGEBIR,XRND,background,AGE OF MOTHER AT BIRTH OF CHILD,0.036114013739247594
C0796600,0.03601764009679351,C07966.00,ANTIZX1988,1988,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - SAME SEX,0.03601764009679351
C1639100,-0.03600685298771174,C16391.00,MS961519,1996,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL,0.03600685298771174
C0008046,0.03569581005948445,C00080.46,CRES2002,2002,family/home,USUAL RESIDENCE OF CHILD,0.03569581005948445
C0984300,0.03544886639722317,C09843.00,MS901333,1990,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH,0.03544886639722317
C1137500,-0.03541549625922241,C11375.00,CS926768,1992,school/achievement,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON,0.03541549625922241
Y4276300,-0.035402206631390445,Y42763.00,YASR-66,2018,prior delinquency/contact,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS,0.035402206631390445
Y4276202,-0.035402206631390445,Y42762.02,YASR-65A~000003,2018,prior delinquency/contact,CHARGES R MOST RECENTLY CONVICTED OF - THEFT,0.035402206631390445
Y3586305,0.03494844937520139,Y35863.05,Q13-3A.01~000006,2016,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH,0.03494844937520139
C1140600,0.03471897524768639,C11406.00,CS926869,1992,substance/risk behavior,CHILD SELF-ADMINISTERED: HAS CHILD USED OTHER DRUGS IN THE PAST 3,0.03471897524768639
Y0671300,-0.03461569223057167,Y06713.00,YASR-65A~000004,1996,prior delinquency/contact,YA SELF-REPORT: EVER CONVICTED OF FENCING/RECEIVING/SELLING STOLEN,0.03461569223057167
Y2609706,0.03436620743168753,Y26097.06,YASR-65A~000007,2010,substance/risk behavior,CHARGES R MOST RECENTLY CONVICTED OF - POSSESSION OF MARIJUANA OR,0.03436620743168753
C3986700,-0.03418964682549956,C39867.00,BPEXTR2010,2010,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL SCORE TRICHOTOMOUS ITEMS,0.03418964682549956
C3045800,0.03369072307998708,C30458.00,CSAS040E,2004,school/achievement,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON,0.03369072307998708
C3924800,-0.03357207672052915,C39248.00,MS-HOME-D02F,2008,family/home,HOME PART D (10-14 YRS): HOW OFTEN CHILD EXPECTED TO HELP MANAGE,0.03357207672052915
C0574100,0.03342322906097725,C05741.00,ANTIP1986,1986,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN,0.03342322906097725
S0063200,0.03328068986089758,S00632.00,P2Q38O,1995,school/achievement,PRINCIPAL #2: SCHOOL PROBLEM - DEGREE OF POSSESSION OF WEAPONS,0.03328068986089758
Y3671406,-0.033013463412515584,Y36714.06,YASR-65A~000007,2016,substance/risk behavior,CHARGES R MOST RECENTLY CONVICTED OF - POSSESSION OF MARIJUANA OR,0.033013463412515584
C3010600,0.032989278698630886,C30106.00,BPI-10,2004,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME,0.032989278698630886
C1662300,-0.03289009167391948,C16623.00,CS96MATH_GRD,1996,school/achievement,PIAT MATH: CHILD GRADE IN SCHOOL,0.03289009167391948
Y0672300,0.032878972820162056,Y06723.00,YASR-65B,1996,prior delinquency/contact,YA SELF-REPORT: EVER BEEN CONVICTED OF ANYTHING IN ADULT COURT?,0.032878972820162056
C1637100,-0.03258865708480629,C16371.00,MS961443,1996,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER,0.03258865708480629
C6100700,-0.032387467570910475,C61007.00,MS-BPI-13,2016,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT,0.032387467570910475
Y0671700,-0.0319877360909647,Y06717.00,YASR-65A~000008,1996,substance/risk behavior,YA SELF-REPORT: EVER CONVICTED OF SELLING MARIJUANA OR HASHISH?,0.0319877360909647
C5531500,0.031869772864071104,C55315.00,ANTI2012,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL RAW SCORE,0.031869772864071104
C3420600,-0.031767989871662454,C34206.00,MS-BPI-10,2006,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME,0.031767989871662454
S0042900,-0.03167510815705926,S00429.00,P1Q38F,1995,school/achievement,PRINCIPAL #1: SCHOOL PROBLEM - DEGREE OF ROBBERY OR THEFT,0.03167510815705926
C6032300,-0.03147675825392093,C60323.00,MS-BPI-10,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME,0.03147675825392093
C2526300,-0.030950663126464134,C25263.00,ANTIZ2002,2002,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - ALL CHILDREN,0.030950663126464134
C1798300,0.030794141473693606,C17983.00,BPEXTP1998,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL PERCENTILE SCORE TRICHOTOMOUS,0.030794141473693606
Y2674600,-0.030575944918091125,Y26746.00,Q4-5AB,2012,school/achievement,IN LAST SCHOOL YEAR HOW OFTEN HAS R SEEN A STUDENT CARRY A WEAPON,0.030575944918091125
C0564900,0.030259966957925273,C05649.00,MS860527,1986,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME,0.030259966957925273
C3987700,-0.030255053820320604,C39877.00,ANTIP2010,2010,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN,0.030255053820320604
C0994500,0.030103670996100913,C09945.00,ANTIP1990,1990,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN,0.030103670996100913
C0794500,0.02999830034618197,C07945.00,ANTIP1988,1988,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN,0.02999830034618197
C3987300,-0.02999720505283672,C39873.00,BPEXTZ2010,2010,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL STANDARD SCORE TRICHOTOMOUS ITEMS,0.02999720505283672
Y1739100,0.02996400577395769,Y17391.00,Q4-5AA,2006,school/achievement,HAS R EVER SEEN A STUDENT CARRY A WEAPON ON SCHOOL PROPERTY,0.02996400577395769
Y1942700,0.029472181501964578,Y19427.00,YASR-69B,2006,socioeconomic/work,WAS ANY OF VOLUNTEER WORK R HAS DONE COURT ORDERED?,0.029472181501964578
Y3248303,-0.02922055135919923,Y32483.03,Q13-3F.01~000028,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO,0.02922055135919923
C1636600,0.028998391471680148,C16366.00,MS961433,1996,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH,0.028998391471680148
C6032400,-0.02885665823563311,C60324.00,MS-BPI-11,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER,0.02885665823563311
C1798900,-0.028716980660447304,C17989.00,BPMIS21998,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL RAW SCORE TRICHOTOMOUS ITEMS -,0.028716980660447304
C6101300,-0.028696815042166385,C61013.00,MS-BPI-19,2016,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT,0.028696815042166385
Y1667300,0.02857109017495354,Y16673.00,YASR-60C,2004,prior delinquency/contact,HOW MANY TIMES IN LAST YEAR R HURT SOMEONE BADLY ENOUGH TO NEED,0.02857109017495354
C1183300,0.02821999778444425,C11833.00,MS921347,1992,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT,0.02821999778444425
C2435300,-0.02809929483428786,C24353.00,MS2-28,2000,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO,0.02809929483428786
C1140100,0.028083287802423727,C11401.00,CS926859,1992,substance/risk behavior,CHILD SELF-ADMINISTERED: CHILD'S AGE WHEN FIRST DRANK ALCOHOL,0.028083287802423727
C1140300,-0.028040924690189907,C11403.00,CS926863,1992,substance/risk behavior,CHILD SELF-ADMINISTERED: HAS CHILD USED MARIJUANA IN THE PAST 3,0.028040924690189907
C2797200,0.027888957356152145,C27972.00,ANTI2004,2004,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL RAW SCORE,0.027888957356152145
Y0969000,-0.02787044513649493,Y09690.00,YASR-65A~000007,1998,substance/risk behavior,YA SELF-REPORT: EVER CONVICTED OF POSSESSION OF MARIJUANA OR,0.02787044513649493
C3370800,-0.027673846065325334,C33708.00,CSAS063,2006,substance/risk behavior,CHILD SELF-ADMIN: CHILD'S AGE WHEN FIRST USED MARIJUANA,0.027673846065325334
C1197414,0.027617618678177407,C11974.14,BPEXTR1992,1992,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL SCORE TRICHOTOMOUS ITEMS,0.027617618678177407
Y2258100,-0.02752822535674882,Y22581.00,YASR-65A~000001,2008,prior delinquency/contact,CHARGES R MOST RECENTLY CONVICTED OF - ASSAULT,0.02752822535674882
Y1417406,-0.02709695593260399,Y14174.06,YASR-65A~000007,2002,substance/risk behavior,CHARGES R MOST RECENTLY CONVICTED OF - POSSESSION OF MARIJUANA OR,0.02709695593260399
C1183000,0.026712393118186854,C11830.00,MS921341,1992,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME,0.026712393118186854
C3609300,-0.02657910743481582,C36093.00,ANTIZ2008,2008,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - ALL CHILDREN,0.02657910743481582
C5190600,-0.02656371259938897,C51906.00,MS-BPI-10,2010,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME,0.02656371259938897
C3873700,-0.026177928273218323,C38737.00,CSAS056B,2008,substance/risk behavior,CHILD SELF-ADMIN: CHILD'S AGE WHEN FIRST DRANK ALCOHOL,0.026177928273218323
Y3248901,0.02554329962827404,Y32489.01,Q13-3G.01~000026,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL,0.02554329962827404
Y3247900,-0.025396575691196768,Y32479.00,Q13-3E.03~000019,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT,0.025396575691196768
Y0378600,-0.02537003540872237,Y03786.00,YASR-65B,1994,prior delinquency/contact,YA SELF-REPORT: EVER BEEN CONVICTED OF ANYTHING IN ADULT COURT?,0.02537003540872237
